Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE
Noah Hanifin,28,D,80,10,29,39,8,14,8,2,0,2,21,8,0,145,6.9,329,21:33,0,0,,106,43,32,112
Neal Pionk,29,D,69,10,29,39,21,44,6,4,0,2,20,8,1,123,8.1,302,22:04,0,0,,101,114,30,72
Jack Quinn,23,RW,74,15,24,39,-18,18,12,3,0,3,14,10,0,123,12.2,277,14:52,1,6,14.3,23,39,12,52
Jack Roslovic,28,C,81,22,17,39,-10,10,21,1,0,2,16,1,0,139,15.8,288,13:49,192,163,54.1,23,14,19,63
Bowen Byram,23,D,82,7,31,38,11,46,7,0,0,2,28,2,1,94,7.4,209,22:42,0,0,,116,75,15,84
Brendan Gallagher,32,RW,82,21,17,38,-6,39,16,5,0,1,15,2,0,148,14.2,303,13:55,0,6,0,38,92,16,62
Roman Josi,34,D,53,9,29,38,-26,18,7,2,0,1,14,15,0,150,6,368,25:02:00,0,0,,95,42,23,75
Vladislav Namestnikov,32,C,78,11,27,38,20,38,9,2,0,1,17,9,1,94,11.7,168,15:05,365,426,46.1,49,84,15,38
Michael Bunting,29,LW,76,19,19,38,-19,68,8,11,0,1,13,6,0,155,12.3,313,15:32,5,8,38.5,19,70,13,58
Logan Stankoven,21,C,78,14,24,38,-1,18,12,2,0,5,18,6,0,194,7.2,343,15:05,87,106,45.1,33,48,20,51
André Burakovsky,29,LW,79,10,27,37,-3,12,10,0,0,1,19,8,0,115,8.7,219,14:25,3,3,50,27,33,18,38
Noah Cates,25,LW,78,16,21,37,3,14,15,1,0,2,19,2,0,110,14.5,214,15:53,493,612,44.6,54,87,21,32
Jonathan Drouin,29,LW,43,11,26,37,4,6,8,3,0,2,17,9,0,56,19.6,113,18:11,9,13,40.9,12,14,15,35
Frédérick Gaudreau,31,C,82,18,19,37,-2,8,13,5,0,2,19,0,0,110,16.4,198,15:40,529,568,48.2,61,47,24,50
Marco Kasper,20,C,77,19,18,37,1,34,17,2,0,3,16,2,0,145,13.1,253,15:27,281,345,44.9,48,156,9,47
Alex Killorn,35,C,82,19,18,37,12,30,18,0,1,5,14,3,1,134,14.2,288,17:17,8,13,38.1,23,77,11,62
Nino Niederreiter,32,RW,82,17,20,37,16,24,13,4,0,3,13,7,0,150,11.3,271,14:51,20,26,43.5,39,152,17,60
Shane Pinto,24,C,70,21,16,37,10,26,17,1,3,5,13,1,2,127,16.5,268,17:33,444,442,50.1,56,73,27,44
Darren Raddysh,28,D,73,6,31,37,9,14,4,2,0,0,24,7,0,108,5.6,282,17:18,0,0,,68,38,10,55
Morgan Frost,25,C,81,14,23,37,-17,22,12,2,0,2,10,13,0,144,9.7,280,15:45,529,504,51.2,60,69,35,66
Andrei Kuzmenko,28,F,66,11,26,37,-6,14,7,4,0,4,17,9,0,83,13.3,183,15:38,1,0,100,22,19,22,57
Zachary Bolduc,21,C,72,19,17,36,20,37,12,7,0,0,12,5,0,120,15.8,245,12:48,5,9,35.7,36,108,17,59
Jake Evans,28,C,82,13,23,36,1,10,10,0,3,5,20,0,3,80,16.3,172,15:33,593,529,52.9,60,124,15,62
Jordan Martinook,32,LW,79,15,21,36,16,18,15,0,0,3,20,0,1,112,13.4,251,15:18,35,37,48.6,52,84,18,53
Dawson Mercer,23,C,82,19,17,36,4,16,12,6,1,3,15,2,0,141,13.5,280,17:53,96,141,40.5,60,41,18,56
Colton Parayko,31,D,64,16,20,36,12,8,14,1,1,4,19,0,1,125,12.8,251,23:45,0,0,,149,92,27,86
Jordan Staal,36,C,75,13,23,36,15,16,11,0,2,3,23,0,0,107,12.1,197,15:26,724,605,54.5,43,138,9,41
James van Riemsdyk,35,LW,71,16,20,36,-4,23,15,1,0,2,19,1,0,85,18.8,149,12:24,6,14,30,16,31,5,40
Seth Jones,30,D,63,9,27,36,-24,22,4,5,0,2,13,14,0,129,7,305,24:38:00,0,0,,109,96,26,82
Nick Foligno,37,LW,78,15,20,35,-17,48,11,2,2,1,18,2,0,104,14.4,163,15:55,341,363,48.4,34,200,16,50
Eeli Tolvanen,25,RW,81,23,12,35,3,23,21,2,0,3,9,3,0,137,16.8,283,14:19,5,6,45.5,65,237,13,45
Maxim Tsyplakov,26,F,77,10,25,35,4,39,9,1,0,1,23,2,0,116,8.6,262,14:58,10,13,43.5,40,140,28,78
Alexander Wennberg,30,C,77,10,25,35,-21,14,7,3,0,2,18,7,0,82,12.2,182,18:51,508,561,47.5,80,30,38,41
Joshua Norris,25,C,56,21,14,35,-6,44,12,6,3,5,8,5,1,96,21.9,178,18:21,413,354,53.8,47,135,13,33
Charlie Coyle,32,C,83,17,18,35,-9,24,13,3,1,3,14,4,0,115,14.8,223,16:59,374,395,48.6,61,108,42,54
Jackson Blake,21,RW,80,17,17,34,10,30,12,5,0,6,15,2,0,142,12,247,13:51,15,15,50,30,19,20,54
Ridly Greig,22,C,78,13,21,34,-11,60,8,3,2,2,13,6,2,119,10.9,235,17:05,208,172,54.7,47,138,20,35
Marcus Johansson,34,C,72,11,23,34,-7,12,9,1,1,1,18,5,0,121,9.1,239,16:23,5,15,25,25,49,12,41
Adam Lowry,31,LW,73,16,18,34,18,28,16,0,0,4,16,0,2,99,16.2,196,15:26,615,573,51.8,60,140,20,44
Bobby McMann,28,F,74,20,14,34,12,27,17,3,0,5,11,3,0,169,11.8,289,14:30,4,17,19,23,136,16,33
Ilya Mikheyev,30,F,80,20,14,34,4,16,17,0,3,3,14,0,0,138,14.5,221,15:41,1,11,8.3,15,34,21,54
Valeri Nichushkin,29,RW,43,21,13,34,11,8,16,5,0,0,10,3,0,118,17.8,212,19:44,3,3,50,21,55,7,42
Brandt Clarke,21,D,78,5,28,33,13,46,3,2,0,0,21,7,0,131,3.8,269,16:17,0,0,,121,23,24,63
Max Domi,29,LW,74,8,25,33,5,76,8,0,0,1,18,7,0,93,8.6,187,14:10,273,271,50.2,30,32,21,69
Christian Dvorak,28,C,82,12,21,33,-5,16,11,1,0,0,20,1,0,104,11.5,221,15:15,591,469,55.8,74,44,18,66
Aaron Ekblad,28,D,56,3,30,33,11,53,3,0,0,2,17,11,2,106,2.8,291,23:31,0,0,,64,90,23,57
Mattias Ekholm,34,D,65,9,24,33,11,30,6,3,0,1,20,4,0,143,6.3,328,22:12,0,0,,95,42,35,83
Filip Hronek,27,D,61,5,28,33,0,40,5,0,0,0,21,7,0,83,6,240,23:54,1,0,100,75,89,14,74
Jesperi Kotkaniemi,24,C,78,12,21,33,9,50,12,0,0,1,20,1,0,115,10.4,219,14:04,367,342,51.8,28,66,18,64
Patrik Laine,26,RW,52,20,13,33,-14,14,5,15,0,5,9,4,0,116,17.2,215,14:18,11,14,44,28,26,13,38
Mason Lohrei,24,D,77,5,28,33,-43,16,4,1,0,0,13,15,0,92,5.4,258,19:32,0,0,,103,25,36,104
Darnell Nurse,29,D,76,5,28,33,11,72,4,0,1,1,26,2,0,188,2.7,393,22:22,0,0,,136,161,16,69
Alex Pietrangelo,35,D,71,4,29,33,11,16,4,0,0,1,25,2,2,123,3.3,291,22:24,0,0,,139,41,25,106
Ivan Provorov,28,D,82,7,26,33,11,31,5,1,1,0,22,2,2,100,7,269,23:21,0,0,,127,28,29,120
Cole Sillinger,21,C,66,11,22,33,-11,35,8,2,1,2,20,1,1,129,8.5,231,16:55,300,350,46.2,36,74,21,50
Brady Skjei,30,D,82,10,23,33,-24,42,8,2,0,1,15,8,0,156,6.4,324,21:53,0,0,,93,52,32,101
Vladimir Tarasenko,33,RW,80,11,22,33,-13,6,10,1,0,1,15,7,0,133,8.3,281,14:47,0,2,0,35,63,16,61
Mikael Backlund,35,C,76,15,17,32,4,32,13,1,1,3,12,5,0,175,8.6,348,18:44,703,749,48.4,51,41,35,68
J.T. Compher,29,LW,76,11,21,32,-7,24,6,5,0,3,17,4,0,98,11.2,167,16:41,457,556,45.1,64,29,17,49
Luke Evangelista,22,RW,68,10,22,32,-2,22,9,1,0,1,18,4,0,134,7.5,211,13:52,0,3,0,13,28,16,37
Justin Faulk,32,D,78,4,28,32,-9,30,3,1,0,1,17,11,0,124,3.2,296,22:27,0,0,,108,82,28,100
Mathieu Olivier,27,F,82,18,14,32,-4,139,17,0,1,5,13,0,1,111,16.2,200,14:28,14,22,38.9,80,306,22,49
Eric Robinson,29,LW,82,14,18,32,14,10,14,0,0,1,18,0,0,110,12.7,214,12:16,7,26,21.2,16,123,9,42
Evan Rodrigues,31,C,82,15,17,32,-4,38,11,4,0,1,14,3,0,161,9.3,331,15:13,127,155,45,23,128,21,62
Yegor Sharangovich,26,C,73,17,15,32,-9,8,11,5,1,2,12,3,0,128,13.3,289,16:39,146,171,46.1,31,14,17,51
Jared Spurgeon,35,D,66,7,25,32,8,14,6,1,0,3,17,8,0,107,6.5,240,20:27,0,0,,119,53,22,52
Trevor Zegras,23,C,57,12,20,32,-8,23,11,1,0,1,17,3,0,98,12.2,197,17:02,68,118,36.6,27,50,13,51
Rasmus Andersson,28,D,81,11,20,31,-38,60,8,3,0,1,14,6,0,163,6.7,378,23:59,0,0,,196,36,30,107
Simon Edvinsson,21,D,78,7,24,31,12,67,7,0,0,3,23,0,1,86,8.1,215,21:07,0,0,,144,86,26,91
Gustav Forsling,28,D,80,11,20,31,33,16,10,0,1,1,18,1,1,195,5.6,421,22:57,0,0,,89,83,37,72
Alex Iafallo,31,C,82,15,16,31,21,15,9,6,0,2,12,4,0,109,13.8,189,13:17,12,13,48,61,53,26,30
Mike Matheson,30,D,80,6,25,31,-6,51,5,1,0,1,15,9,1,149,4,366,25:05:00,0,0,,168,60,43,107
Ryan McDonagh,35,D,82,4,27,31,43,22,3,0,1,2,24,1,2,78,5.1,195,20:22,0,0,,152,23,24,115
Ryan Poehling,26,C,68,12,19,31,-4,16,10,2,0,1,17,1,1,71,16.9,141,13:53,375,362,50.9,79,26,11,43
Nicolas Roy,27,C,71,15,16,31,-4,43,13,2,0,3,14,2,0,107,14,185,15:13,371,407,47.7,47,72,20,58
Mackie Samoskevich,22,RW,72,15,16,31,-4,12,11,4,0,5,9,7,0,129,11.6,277,13:19,0,1,0,32,134,9,46
Scott Laughton,30,C,80,13,18,31,-18,32,12,0,1,2,17,0,1,125,10.4,237,14:36,253,245,50.8,54,178,19,59
Yanni Gourde,33,C,57,7,24,31,-1,52,7,0,0,2,23,1,0,75,9.3,154,16:03,267,271,49.6,36,109,16,38
Connor Brown,31,RW,82,13,17,30,9,10,12,0,1,4,16,0,1,123,10.6,212,14:01,16,28,36.4,37,19,26,55
Vladislav Gavrikov,29,D,82,5,25,30,26,28,5,0,0,0,24,0,1,112,4.5,285,23:05,0,0,,140,50,22,69
Keegan Kolesar,27,RW,82,12,18,30,3,53,12,0,0,3,17,0,1,88,13.6,167,13:12,6,12,33.3,49,237,13,34
Chris Kreider,33,LW,68,22,8,30,-5,24,12,6,4,6,7,1,0,152,14.5,261,16:45,27,41,39.7,26,79,9,39
Kris Letang,37,D,74,9,21,30,-15,52,4,4,1,0,13,8,0,164,5.5,361,23:32,0,0,,100,120,37,100
Corey Perry,39,RW,81,19,11,30,12,61,15,4,0,4,8,3,0,100,19,200,11:56,17,16,51.5,26,36,13,44
Rasmus Sandin,24,D,82,4,26,30,13,23,3,1,0,0,22,4,0,78,5.1,225,19:11,0,0,,122,91,26,71
Travis Sanheim,28,D,82,8,22,30,-6,40,8,0,0,0,18,2,2,139,5.8,306,24:30:00,0,0,,170,84,51,127
Alex Vlasic,23,D,82,4,26,30,-23,12,3,1,0,0,14,11,1,103,3.9,211,23:16,0,0,,157,59,53,97
Brandon Saad,32,LW,72,13,17,30,-8,6,13,0,0,1,14,3,0,127,10.2,216,14:49,7,18,28,21,12,21,55
Joel Armia,31,RW,81,11,18,29,-2,16,8,0,3,1,15,3,0,104,10.6,232,14:18,3,11,21.4,35,87,19,48
Philip Broberg,23,D,68,8,21,29,21,16,8,0,0,2,19,2,0,97,8.2,238,20:30,0,0,,103,43,22,103
Brent Burns,39,D,82,6,23,29,7,28,6,0,0,0,20,3,0,174,3.4,461,20:57,0,0,,98,11,36,104
Ross Colton,28,C,61,16,13,29,-1,18,11,5,0,3,11,2,0,125,12.8,253,14:25,39,58,40.2,42,145,15,47
Oliver Ekman-Larsson,33,D,77,4,25,29,14,52,2,2,0,1,23,2,0,118,3.4,288,21:04,0,0,,83,108,28,95
Joel Eriksson Ek,28,C,46,14,15,29,9,22,9,5,0,1,10,5,0,140,10,217,19:46,408,459,47.1,36,82,14,34
Brock Faber,22,D,78,10,19,29,-2,23,8,2,0,1,10,8,1,124,8.1,298,25:32:00,0,0,,115,36,29,109
Marcus Foligno,33,LW,77,14,15,29,7,75,14,0,0,1,15,0,0,91,15.4,160,14:29,7,12,36.8,49,253,20,48
William Karlsson,32,C,53,9,20,29,17,4,7,0,2,4,14,6,0,119,7.6,242,17:01,410,296,58.1,37,20,14,50
Michael Kesselring,25,D,82,7,22,29,4,89,6,1,0,1,20,2,0,150,4.7,350,17:41,0,0,,67,87,22,84
Victor Olofsson,29,RW,56,15,14,29,17,16,9,6,0,4,12,2,0,109,13.8,211,14:30,1,6,14.3,19,26,8,25
Jeff Skinner,32,LW,72,16,13,29,1,26,16,0,0,1,11,2,0,144,11.1,265,13:00,22,21,51.2,23,45,19,41
Danton Heinen,29,C,79,9,20,29,2,31,7,1,1,0,19,1,0,81,11.1,165,13:27,18,28,39.1,37,81,19,48
Marcus Pettersson,28,D,78,4,25,29,6,45,4,0,0,1,24,0,1,70,5.7,215,21:41,0,0,,144,80,32,88
Zach Benson,19,LW,75,10,18,28,-2,60,7,3,0,0,17,1,0,120,8.3,212,14:49,4,17,19,29,35,19,41
Alexander Kerfoot,30,C,81,11,17,28,-5,14,9,0,2,1,16,1,0,100,11,177,15:15,259,234,52.5,67,59,30,78
Peyton Krebs,24,C,81,10,18,28,1,60,8,1,1,0,18,0,0,80,12.5,199,13:56,326,339,49,32,136,10,46
Adam Larsson,32,D,82,7,21,28,22,31,7,0,0,1,21,0,0,112,6.3,263,21:11,0,0,,148,104,33,55
Andrew Mangiapane,28,LW,81,14,14,28,0,24,13,0,1,3,10,4,0,95,14.7,183,13:02,5,7,41.7,30,74,11,49
Dmitry Orlov,33,D,76,6,22,28,16,24,6,0,0,2,21,1,0,117,5.1,310,20:00,0,0,,60,101,21,98
Ondřej Palát,33,LW,77,15,13,28,-5,12,12,2,1,3,11,2,0,96,15.6,192,13:45,4,16,20,58,124,24,56
Jordan Spence,23,D,79,4,24,28,23,16,4,0,0,0,19,5,0,86,4.7,261,16:47,0,0,,77,80,15,72
Kevin Stenlund,28,C,82,14,14,28,-6,40,13,0,1,1,14,0,0,102,13.7,196,14:21,624,430,59.2,64,50,16,50
Gustav Nyquist,35,RW,79,11,17,28,-24,16,8,2,1,0,15,1,1,103,10.7,234,16:51,11,19,36.7,30,44,19,59
Michael Amadio,28,C,72,11,16,27,12,18,10,1,0,2,16,0,0,85,12.9,165,14:06,49,47,51,44,108,24,36
Josh Anderson,30,RW,81,15,12,27,-2,90,14,0,1,1,12,0,0,109,13.8,210,14:19,29,20,59.2,39,176,17,36
Viktor Arvidsson,31,LW,67,15,12,27,-3,24,14,1,0,2,10,2,0,158,9.5,301,15:00,17,35,32.7,23,32,15,67
Nic Dowd,34,C,82,14,13,27,7,56,12,0,2,3,13,0,0,86,16.3,166,15:11,596,599,49.9,82,128,32,51
Adam Henrique,34,C,81,12,15,27,2,16,9,2,1,3,11,4,0,104,11.5,181,14:39,562,448,55.6,85,58,19,57
Jack McBain,25,C,82,13,14,27,8,78,12,1,0,1,12,2,0,90,14.4,189,13:34,229,231,49.8,50,291,16,63
K'Andre Miller,25,D,74,7,20,27,0,22,7,0,0,1,18,2,0,110,6.4,261,21:57,0,0,,110,107,47,97
Tanner Pearson,32,LW,78,12,15,27,4,8,11,0,1,2,15,0,0,109,11,201,11:47,6,18,25,45,96,15,46
Taylor Raddysh,26,RW,80,7,20,27,-7,18,7,0,0,1,19,1,0,93,7.5,185,12:22,9,20,31,28,59,11,44
Jaccob Slavin,30,D,80,6,21,27,16,8,6,0,0,2,18,0,3,110,5.5,319,21:34,0,0,,136,21,61,78
Connor Zary,23,C,54,13,14,27,-7,14,12,1,0,2,6,8,0,111,11.7,211,16:04,90,151,37.3,26,26,10,40
Teddy Blueger,30,C,82,8,18,26,-7,39,8,0,0,0,18,0,0,94,8.5,186,14:19,510,505,50.2,43,104,22,50
Jordan Eberle,34,RW,42,9,17,26,0,14,8,1,0,1,13,4,0,66,13.6,130,16:16,7,11,38.9,25,13,21,28
Dante Fabbro,26,D,68,9,17,26,20,40,9,0,0,3,17,0,0,89,10.1,218,20:54,0,0,,143,67,24,78
Adam Gaudette,28,C,81,19,7,26,12,12,16,3,0,4,7,0,0,90,21.1,191,10:25,176,174,50.3,28,68,8,38
Ryan Hartman,30,RW,69,11,15,26,-7,75,8,3,0,1,11,4,0,158,7,300,14:58,282,308,47.8,41,73,21,66
Esa Lindell,30,D,80,5,21,26,34,14,4,1,0,0,21,0,0,99,5.1,229,22:11,0,0,,170,50,30,109
Frank Nazar,21,C,53,12,14,26,-11,24,10,1,1,2,10,3,1,91,13.2,171,15:52,170,211,44.6,35,30,8,57
Alex Newhook,24,C,82,15,11,26,-21,24,14,1,0,3,8,3,0,118,12.7,264,15:08,239,319,42.8,32,89,15,38
Filip Chytil,25,C,56,13,13,26,-7,18,12,1,0,1,9,4,0,133,9.8,255,14:58,264,300,46.8,13,19,15,36
Mavrik Bourque,23,C,73,11,14,25,6,8,10,1,0,1,12,2,0,80,13.8,165,12:41,161,187,46.3,37,46,12,39
Ryker Evans,23,D,73,5,20,25,-12,30,4,1,0,0,18,2,0,59,8.5,174,19:29,0,0,,106,123,12,73
Martin Fehérváry,25,D,81,5,20,25,18,25,5,0,0,0,18,0,2,76,6.6,199,19:00,0,0,,150,139,11,61
Miro Heiskanen,25,D,50,5,20,25,7,10,5,0,0,0,13,7,0,108,4.6,287,25:10:00,0,0,,85,17,28,67
Nils Höglander,24,LW,72,8,17,25,5,30,8,0,0,2,16,1,0,83,9.6,152,12:08,0,1,0,23,76,13,36
Brett Kulak,31,D,82,7,18,25,-7,18,7,0,0,0,18,0,0,135,5.2,293,20:32,0,0,,118,28,23,81
Martin Pospisil,25,C,81,4,21,25,3,84,3,1,0,0,18,3,0,114,3.5,234,13:48,71,103,40.8,26,301,17,53
Damon Severson,30,D,70,6,19,25,5,47,6,0,0,1,19,0,0,91,6.6,197,19:03,0,0,,104,43,28,85
Sam Steel,26,C,79,6,19,25,-6,31,5,0,1,1,17,0,2,89,6.7,177,14:08,214,186,53.5,26,60,13,41
Alex Turcotte,23,C,68,9,16,25,6,20,8,1,0,2,16,0,0,79,11.4,148,11:44,55,66,45.5,30,46,9,39
Anthony Beauvillier,27,LW,81,15,10,25,2,14,14,0,1,0,9,1,0,149,10.1,265,12:52,11,13,45.8,36,139,15,29
Joel Farabee,24,LW,81,11,14,25,-17,34,11,0,0,1,10,4,0,151,7.3,253,14:55,18,31,36.7,50,94,19,64
Alexandre Carrier,28,D,79,3,22,25,-10,40,3,0,0,0,21,0,1,82,3.7,182,20:35,0,0,,169,75,22,64
Drew O'Connor,26,F,84,10,15,25,-16,34,8,1,1,2,13,1,1,117,8.5,247,14:28,48,67,41.7,57,83,36,61
Michael Anderson,25,D,77,6,18,24,17,28,6,0,0,0,18,0,0,84,7.1,248,22:41,0,0,,124,119,22,57
Jonatan Berggren,24,RW,75,12,12,24,-13,14,9,3,0,1,10,2,0,88,13.6,183,12:59,5,12,29.4,16,41,11,31
Samuel Girard,26,D,73,3,21,24,7,14,3,0,0,2,20,1,0,95,3.2,227,20:51,0,0,,111,62,24,86
Jiri Kulich,20,C,62,15,9,24,-4,18,15,0,0,3,9,0,0,134,11.2,262,14:48,254,304,45.5,36,40,15,33
Eetu Luostarinen,26,C,80,9,15,24,12,28,8,0,1,3,13,1,1,87,10.3,185,15:17,33,40,45.2,60,183,20,43
Tyler Myers,34,D,71,6,18,24,2,74,5,0,1,0,16,1,1,87,6.9,233,20:48,0,0,,125,87,31,61
Vasily Podkolzin,23,RW,82,8,16,24,1,48,8,0,0,2,16,0,0,114,7,206,13:13,14,43,24.6,53,211,20,55
Matt Roy,29,D,69,3,21,24,18,25,3,0,0,0,21,0,0,84,3.6,247,19:53,0,0,,113,114,15,91
Philip Tomasino,23,C,61,11,13,24,-10,8,8,3,0,6,8,5,0,104,10.6,177,13:04,5,12,29.4,23,63,17,32
Cody Ceci,31,D,85,4,20,24,6,24,4,0,0,2,19,0,1,90,4.4,220,21:13,0,0,,155,76,23,77
Jesper Boqvist,26,C,78,12,11,23,-4,14,11,0,1,3,11,0,0,87,13.8,167,13:15,71,97,42.3,27,191,18,33
Andrew Copp,30,C,56,10,13,23,4,8,9,0,1,2,12,1,0,68,14.7,119,14:42,318,309,50.7,35,9,18,37
Kevin Hayes,32,RW,64,13,10,23,-15,8,9,4,0,1,6,3,1,98,13.3,194,12:03,237,217,52.2,11,52,14,33
Joel Kiviranta,28,F,79,16,7,23,15,20,15,0,1,2,7,0,0,84,19,160,12:31,23,25,47.9,38,114,17,36
Charlie McAvoy,27,D,50,7,16,23,0,46,4,2,1,2,14,2,0,98,7.1,204,23:40,0,0,,81,89,26,72
Jake McCabe,31,D,66,2,21,23,23,40,2,0,0,0,20,0,1,74,2.7,170,21:31,0,0,,135,118,9,83
Ryan Pulock,30,D,74,5,18,23,2,16,4,1,0,1,15,1,2,97,5.2,226,21:05,0,0,,155,100,32,78
Mason Appleton,29,C,71,10,12,22,7,22,10,0,0,3,11,1,0,107,9.3,185,14:50,10,12,45.5,29,76,15,38
Paul Cotter,25,C,79,16,6,22,-14,62,16,0,0,2,6,0,0,90,17.8,202,13:05,41,37,52.6,32,245,17,39
Kirby Dach,24,C,57,10,12,22,-29,40,9,1,0,2,6,6,0,84,11.9,155,15:40,96,142,40.3,36,100,10,39
Niko Mikkola,28,D,76,6,16,22,12,70,6,0,0,0,16,0,0,116,5.2,264,20:12,0,0,,88,137,15,99
Thomas Novak,27,C,54,13,9,22,-7,4,12,1,0,2,5,4,0,92,14.1,155,13:14,94,126,42.7,26,6,12,48
Lukas Reichel,22,LW,70,8,14,22,-16,12,8,0,0,1,12,2,0,72,11.1,117,11:55,142,214,39.9,29,24,13,36
Nicholas Robertson,23,LW,69,15,7,22,-1,16,13,2,0,3,7,0,0,112,13.4,232,12:00,3,4,42.9,33,79,17,26
Nikita Zadorov,29,D,81,4,18,22,25,145,4,0,0,0,16,0,2,105,3.8,267,20:37,0,0,,107,219,25,104
Justin Brazeau,26,F,76,11,11,22,-9,18,7,4,0,3,10,1,0,89,12.4,158,11:52,3,10,23.1,38,123,14,43
Ryan Lindgren,26,D,72,4,18,22,0,40,4,0,0,0,16,0,2,63,6.3,205,19:42,0,0,,128,80,12,72
Brandon Tanev,33,LW,79,10,12,22,-12,16,10,0,0,0,12,0,0,99,10.1,181,13:14,7,24,22.6,105,168,23,52
Brian Dumoulin,33,D,80,3,19,22,-1,14,3,0,0,1,19,0,0,69,4.3,163,19:33,0,0,,109,74,28,53
Lars Eller,35,C,80,10,12,22,-5,36,10,0,0,0,11,1,0,104,9.6,205,13:17,392,359,52.2,35,57,16,50
Cody Glass,25,C,65,6,16,22,-5,16,5,1,0,1,15,1,0,91,6.6,189,13:39,242,231,51.2,38,53,12,32
Erik Černák,27,D,76,3,18,21,29,50,3,0,0,0,16,0,2,64,4.7,183,18:16,0,0,,99,157,20,41
Justin Danforth,31,RW,61,9,12,21,-6,18,8,0,1,1,11,1,0,94,9.6,140,14:23,327,334,49.5,49,126,8,26
Brandon Duhaime,27,RW,82,9,12,21,3,98,9,0,0,1,11,0,1,83,10.8,177,13:21,18,25,41.9,65,165,12,38
Garnet Hathaway,33,RW,67,10,11,21,5,58,8,0,2,1,11,0,0,80,12.5,138,11:52,7,12,36.8,61,257,8,27
Erik Haula,33,LW,69,11,10,21,-6,39,9,2,0,1,7,3,0,110,10,195,14:42,378,341,52.6,35,101,14,44
Nick Jensen,34,D,71,3,18,21,18,6,3,0,0,0,18,0,0,77,3.9,207,20:13,0,0,,95,55,19,81
Jacob Middleton,29,D,67,8,13,21,11,40,8,0,0,0,13,0,0,97,8.2,224,21:52,0,0,,157,99,21,64
Logan O'Connor,28,RW,80,10,11,21,-4,26,10,0,0,1,10,0,1,89,11.2,175,14:07,27,43,38.6,50,68,17,32
Adam Pelech,30,D,60,0,21,21,4,32,0,0,0,0,20,1,0,109,0,278,21:07,0,0,,87,73,36,58
Michael Rasmussen,25,C,77,11,10,21,-12,24,9,2,0,1,8,2,0,99,11.1,191,13:25,91,105,46.4,59,141,10,42
Braden Schneider,23,D,80,6,15,21,9,18,5,0,1,1,14,0,1,95,6.3,224,17:52,0,0,,145,146,19,96
Tyler Seguin,33,C,20,9,12,21,15,4,6,3,0,2,12,0,0,46,19.6,93,16:09,92,82,52.9,6,5,4,13
Colton Sissons,31,C,72,7,14,21,-12,22,7,0,0,0,13,1,0,80,8.8,150,14:22,342,282,54.8,67,100,20,32
Trevor van Riemsdyk,33,D,82,1,20,21,20,34,1,0,0,0,20,0,0,80,1.3,215,17:40,0,0,,151,10,25,57
Kevin Bahl,24,D,73,3,17,20,-6,35,2,1,0,0,17,0,0,82,3.7,219,21:23,0,0,,116,109,24,85
Mathew Barzal,27,C,30,6,14,20,10,4,5,1,0,1,11,3,0,78,7.7,171,20:21,22,30,42.3,24,24,10,36
Jonas Brodin,31,D,50,4,16,20,10,18,4,0,0,1,15,0,1,71,5.6,178,22:57,0,0,,104,27,21,53
Sam Carrick,32,C,80,6,14,20,5,58,5,0,1,2,12,0,2,84,7.1,164,11:56,375,317,54.2,42,137,16,52
Jamie Drysdale,22,D,70,7,13,20,-32,22,5,2,0,1,8,5,0,63,11.1,186,19:55,0,0,,102,18,20,73
Joel Edmundson,31,D,73,6,14,20,25,22,6,0,0,1,13,1,0,91,6.6,241,20:35,0,0,,108,100,23,62
Gage Goncalves,24,C,60,8,12,20,7,14,7,1,0,1,11,1,0,61,13.1,114,12:48,3,3,50,20,71,18,35
Blake Lizotte,27,C,59,11,9,20,-4,26,9,1,1,1,9,0,0,51,21.6,102,12:43,177,169,51.2,29,60,10,36
Brayden McNabb,34,D,82,5,15,20,42,32,4,0,1,0,14,0,1,97,5.2,242,20:07,0,0,,167,131,21,79
Alexander Romanov,25,D,64,4,16,20,5,20,4,0,0,0,15,0,1,100,4,252,22:18,0,0,,165,147,24,81
Dylan Samberg,26,D,60,6,14,20,34,26,6,0,0,2,13,1,0,95,6.3,224,21:08,0,0,,120,56,33,64
Nick Seeler,31,D,77,3,17,20,10,36,3,0,0,1,17,0,0,82,3.7,237,17:17,0,0,,200,125,23,85
Oskar Sundqvist,30,C,67,6,14,20,-6,32,2,4,0,0,11,3,0,60,10,130,13:12,260,312,45.5,53,78,19,41
Olen Zellweger,21,D,62,7,13,20,1,20,6,1,0,0,9,4,0,130,5.4,302,18:58,0,0,,72,37,21,61
Nikolai Kovalenko,25,RW,57,7,13,20,-9,16,4,3,0,0,12,1,0,45,15.6,97,12:20,2,7,22.2,24,84,16,40
Nick Bjugstad,32,C,66,8,11,19,-2,16,7,1,0,0,11,0,0,115,7,204,12:19,207,230,47.4,29,104,12,39
Jonny Brodzinski,31,C,51,12,7,19,6,4,12,0,0,2,7,0,0,73,16.4,139,11:41,81,89,47.6,19,27,11,26
Michael Carcone,28,F,53,7,12,19,-7,36,7,0,0,0,10,2,0,75,9.3,181,11:26,5,5,50,11,48,6,38
