Player,GP,BLK,HIT,TAKE,GIVE
Luke Hughes,71,60,19,33,86
Zach Hyman,73,24,59,14,43
Devon Toews,76,103,40,35,81
Shane Wright,79,62,54,14,73
Kaapo Kakko,79,28,68,18,59
Matty Beniers,82,77,42,28,72
Phillip Danault,80,73,83,25,86
Tyson Foerster,81,54,75,16,41
Jackson LaCombe,75,129,69,35,78
Owen Tippett,77,63,115,32,58
Alex Laferriere,77,43,124,14,48
Jean-Gabriel Pageau,79,57,140,25,47
Taylor Hall,77,42,43,34,76
Bobby Brink,79,30,98,21,58
Brandon Montour,81,100,84,25,97
Stefan Noesen,78,26,152,14,73
Nick Paul,76,31,66,19,48
Morgan Rielly,82,131,21,20,99
Ryan Strome,82,36,52,19,66
Fabian Zetterlund,84,81,154,22,50
Evgenii Dadonov,80,39,44,9,66
Matt Grzelcyk,82,101,43,32,85
Dougie Hamilton,64,85,74,20,94
Brett Howden,80,56,121,22,42
Trevor Moore,71,29,71,23,46
Owen Power,79,109,26,26,73
Kiefer Sherwood,78,30,462,26,49
Cam Fowler,68,87,8,16,63
Casey Mittelstadt,81,33,30,19,80
Jake Walman,65,145,57,27,80
Reilly Smith,79,41,48,26,70
Blake Coleman,82,66,176,31,78
Noah Dobson,71,126,57,36,108
Vince Dunn,62,79,29,25,79
Noah Hanifin,80,106,43,32,112
Neal Pionk,69,101,114,30,72
Jack Quinn,74,23,39,12,52
Jack Roslovic,81,23,14,19,63
Bowen Byram,82,116,75,15,84
Brendan Gallagher,82,38,92,16,62
Roman Josi,53,95,42,23,75
Vladislav Namestnikov,78,49,84,15,38
Michael Bunting,76,19,70,13,58
Logan Stankoven,78,33,48,20,51
André Burakovsky,79,27,33,18,38
Noah Cates,78,54,87,21,32
Jonathan Drouin,43,12,14,15,35
Frédérick Gaudreau,82,61,47,24,50
Marco Kasper,77,48,156,9,47
Alex Killorn,82,23,77,11,62
Nino Niederreiter,82,39,152,17,60
Shane Pinto,70,56,73,27,44
Darren Raddysh,73,68,38,10,55
Morgan Frost,81,60,69,35,66
Andrei Kuzmenko,66,22,19,22,57
Zachary Bolduc,72,36,108,17,59
Jake Evans,82,60,124,15,62
Jordan Martinook,79,52,84,18,53
Dawson Mercer,82,60,41,18,56
Colton Parayko,64,149,92,27,86
Jordan Staal,75,43,138,9,41
James van Riemsdyk,71,16,31,5,40
Seth Jones,63,109,96,26,82
Nick Foligno,78,34,200,16,50
Eeli Tolvanen,81,65,237,13,45
Maxim Tsyplakov,77,40,140,28,78
Alexander Wennberg,77,80,30,38,41
Joshua Norris,56,47,135,13,33
Charlie Coyle,83,61,108,42,54
Jackson Blake,80,30,19,20,54
Ridly Greig,78,47,138,20,35
Marcus Johansson,72,25,49,12,41
Adam Lowry,73,60,140,20,44
Bobby McMann,74,23,136,16,33
Ilya Mikheyev,80,15,34,21,54
