Player,GP,BLK,HIT,TAKE,GIVE
Joey Daccord,57,0,0,0,25
Ivan Demidov,2,0,2,0,1
Filip Gustavsson,58,0,0,0,14
John Hayden,20,19,44,3,5
Ben Hutton,11,19,10,0,4
Grant Hutton,13,12,13,2,8
Connor Ingram,22,0,0,0,11
Tyler Johnson,9,2,5,0,2
Max Jones,26,8,71,1,8
Oliver Kapanen,18,8,1,1,8
Spencer Knight,38,0,0,0,20
Kevin Korchinski,16,14,2,4,14
John Ludvig,8,6,16,1,5
Matt Martin,32,19,82,3,15
Dylan McIlrath,17,14,38,3,17
Keaton Middleton,41,37,69,7,27
Liam O'Brien,28,11,100,2,8
Brennan Othmann,22,7,43,1,6
Noah Philp,15,7,15,1,8
Ryan Reaves,35,8,103,4,10
Mike Reilly,18,14,3,2,16
Cole Reinhardt,17,2,37,1,7
Justin Robidas,2,0,2,0,1
Joshua Roy,12,8,6,3,5
Michael Sgarbossa,3,1,1,0,0
Ty Smith,8,5,2,1,3
Alex Steeves,7,1,19,0,0
Linus Ullmark,44,0,0,0,5
Andrei Vasilevskiy,63,0,0,0,23
Wyatt Aamodt,2,9,6,1,3
Frederik Andersen,22,0,0,0,11
Joey Anderson,18,13,12,8,4
Jaret Anderson-Dolan,7,6,23,1,2
Yaroslav Askarov,13,0,0,0,6
Andreas Athanasiou,8,6,6,2,2
Arshdeep Bains,13,7,17,1,4
Owen Beck,12,8,23,1,11
Emil Bemström,14,3,12,1,5
Clark Bishop,6,2,8,1,2
Mackenzie Blackwood,56,0,0,0,11
Matěj Blümel,7,1,6,1,2
Sergei Bobrovsky,54,0,0,0,20
Skyler Brind'Amour,2,1,1,0,4
Josh Brown,10,18,21,0,3
Patrick Brown,15,12,46,3,10
Callahan Burke,7,3,0,0,3
Drake Caggiula,7,3,8,0,3
Michael Callahan,17,12,8,1,11
Ethan Cardwell,6,3,8,1,5
Declan Carlile,3,2,1,0,3
Lucas Condotta,7,3,10,0,2
Angus Crookshank,8,4,11,0,6
Casey DeSmith,27,0,0,0,3
Dylan Duke,2,0,5,0,0
John Farinacci,1,0,3,0,0
Cale Fleury,14,28,30,5,10
Nolan Foote,7,1,11,1,2
Parker Ford,3,1,5,2,2
Brendan Gaunce,12,7,18,2,7
Alexandar Georgiev,49,0,0,0,17
John Gibson,29,0,0,0,10
Patrick Giles,17,7,21,1,8
Helge Grans,6,5,4,2,8
Kevin Gravel,6,8,7,0,7
Daniil Gushchin,12,6,6,0,1
Mike Hardman,2,3,4,0,0
Ville Heinola,18,16,8,7,15
Connor Hellebuyck,63,0,0,0,18
Joel Hofer,31,0,0,0,19
Justin Hryckowian,5,0,8,0,2
Arttu Hyry,5,3,4,1,1
Bokondji Imama,16,7,45,0,3
Tristan Jarry,36,0,0,0,13
Matt Kiersted,2,1,3,0,1
Joona Koppanen,11,3,40,0,11
Darcy Kuemper,50,0,0,0,9
Joseph LaBate,6,11,14,0,1
Tanner Laczynski,8,3,3,0,0
William Lagesson,7,7,6,0,7
Brad Lambert,5,4,5,0,1
Kevin Lankinen,51,0,0,0,12
Jeremy Lauzon,28,34,127,4,19
Ryan Leonard,9,4,18,4,6
Ukko-Pekka Luukkonen,55,0,0,0,9
Jeff Malott,12,7,19,2,4
Georgii Merkulov,6,7,2,1,2
Dakota Mermis,4,4,3,0,5
Elvis Merzļikins,53,0,0,0,8
Ian Mitchell,15,23,5,5,13
Sam Montembeault,62,0,0,0,6
Ian Moore,3,1,1,0,1
Sam Morton,1,1,4,0,0
Bradly Nadeau,2,1,2,0,0
Jake Oettinger,58,0,0,0,14
Ville Ottavainen,1,1,3,0,0
Zayne Parekh,1,1,1,0,1
Isaak Phillips,3,4,3,0,2
Calvin Pickard,36,0,0,0,15
Andrew Poturalski,3,4,0,0,1
Samuel Poulin,7,0,10,2,7
Jonathan Quick,24,0,0,0,7
Calum Ritchie,7,2,6,1,4
Isak Rosen,8,2,3,1,5
Chad Ruhwedel,5,5,8,1,4
Ilya Samsonov,29,0,0,0,4
Juuse Saros,58,0,0,0,24
Matthew Savoie,4,1,3,1,1
Dominik Shine,9,3,16,3,5
Ilya Solovyov,5,8,12,3,6
Justin Sourdif,1,0,0,0,0
Jack St. Ivany,19,25,38,7,16
Anthony Stolarz,34,0,0,0,11
Daniil Tarasov,20,0,0,0,6
Logan Thompson,43,0,0,0,11
T.J. Tynan,9,4,5,0,5
Vítek Vaněček,25,0,0,0,9
Karel Vejmelka,58,0,0,0,25
Daniel Vladař,30,0,0,0,5
Chris Wagner,28,13,57,1,4
Taylor Ward,1,0,3,0,1
Ozzy Wiesblatt,5,3,13,0,1
Ryan Winterton,12,6,20,1,4
Matthew Wood,6,2,2,2,5
Jack Ahcan,2,1,3,0,3
Alexander Alexeyev,8,14,9,2,7
Jake Allen,31,0,0,0,19
Justus Annunen,34,0,0,0,2
Rasmus Asplund,6,2,3,4,2
Alex Barré-Boulet,2,0,3,1,0
Matt Benning,7,10,9,1,4
Jordan Binnington,56,0,0,0,18
Tobias Björnfot,14,10,13,1,6
Joel Blomqvist,15,0,0,0,2
Samuel Bolduc,1,0,0,0,0
Thomas Bordeleau,1,0,0,0,1
Shane Bowers,4,1,9,1,1
Travis Boyd,3,3,1,0,2
Chase Bradley,2,1,1,0,0
Guillaume Brisebois,3,4,2,1,0
Brendan Brisson,9,0,9,1,1
Frederic Brunet,1,5,1,1,0
Hunter Brzustewicz,1,0,1,1,1
Kyle Capobianco,1,0,1,1,0
Nathan Clurman,1,0,1,0,0
Dylan Coghlan,6,7,2,2,8
Drew Commesso,2,0,0,0,0
Eric Comrie,20,0,0,0,4
Pheonix Copley,1,0,0,0,0
Sebastian Cossa,1,0,0,0,0
Cameron Crotty,1,0,0,0,0
Maxwell Crozier,5,6,11,0,6
Nico Daws,6,0,0,0,2
Thatcher Demko,23,0,0,0,8
Grigori Denisenko,1,0,5,0,0
Travis Dermott,19,16,6,3,9
Cam Dineen,4,6,1,2,0
Jakub Dobes,16,0,0,0,3
Louis Domingue,1,0,0,0,0
Karsen Dorwart,5,2,9,0,5
Lukáš Dostál,54,0,0,0,14
Joshua Dunne,2,2,5,0,0
Riley Duran,2,0,6,0,1
Dalibor Dvorsky,2,0,0,0,1
Samuel Ersson,47,0,0,0,9
Ivan Fedotov,26,0,0,0,12
Tye Felhaber,5,0,7,1,0
Domenick Fensore,2,3,3,0,1
Jack Finley,1,0,1,0,1
Marc-André Fleury,26,0,0,0,4
Anton Forsberg,30,0,0,0,6
Liam Foudy,2,1,0,1,0
Mark Friedman,5,6,6,2,1
Jacob Gaucher,4,2,4,1,0
Julien Gauthier,1,0,2,0,0
Adam Ginning,1,1,1,0,1
Jet Greaves,11,0,0,0,0
Nikita Grebenkin,7,1,13,1,1
Ryan Greene,2,3,0,0,3
Philipp Grubauer,26,0,0,0,11
Robert Hägg,2,2,11,0,0
Jani Hakanpää,2,4,1,0,6
Brian Halonen,2,1,2,1,2
Brandon Halverson,1,0,0,0,2
Rafaël Harvey-Pinard,1,0,1,0,0
Dennis Hildeby,6,0,0,0,3
Adin Hill,50,0,0,0,21
Hayden Hodgson,2,1,7,0,2
Marcus Högberg,15,0,0,0,5
Samuel Honzek,5,2,6,1,4
Daemon Hunt,1,2,0,1,0
Ville Husso,13,0,0,0,4
Quinn Hutson,2,0,0,0,4
Jere Innala,17,6,20,1,2
Jan Jeník,2,0,2,0,0
Jonas Johansson,19,0,0,0,6
Reese Johnson,3,3,6,0,1
Ryan Johnson,3,4,1,0,2
Ben Jones,26,11,51,2,9
Caleb Jones,6,5,10,1,3
Noah Juulsen,35,60,101,12,40
Kaapo Kähkönen,1,0,0,0,0
Devin Kaplan,1,0,1,0,0
Joakim Kemell,2,1,4,0,1
Niklas Kokko,1,0,0,0,0
Aleksei Kolosov,17,0,0,0,2
Joonas Korpisalo,27,0,0,0,4
Kirill Kudryavtsev,2,5,0,0,2
Raphael Lavoie,9,0,16,0,3
Nathan Legare,3,1,12,0,0
Tristan Lennox,1,0,0,0,0
Devon Levi,9,0,0,0,0
Charlie Lindgren,39,0,0,0,9
Jake Lucchini,3,0,2,0,0
Jett Luchanko,4,0,6,1,1
Tristan Luneau,6,9,5,1,6
Alex Lyon,30,0,0,0,9
Kurtis MacDermid,23,8,40,1,9
Connor Mackey,2,1,4,0,1
James Malatesta,2,1,6,1,4
Jacob Markström,49,0,0,0,26
Spencer Martin,9,0,0,0,6
Carter Mazur,1,0,0,0,0
Jaycob Megna,8,9,3,1,6
Jacob Melanson,1,0,4,1,1
Leevi Merilainen,12,0,0,0,2
Ben Meyers,8,1,9,1,1
Sonny Milano,3,0,1,0,1
Michael Milne,1,0,3,0,0
Trent Miner,2,0,0,0,0
Daniil Misyul,1,1,1,0,1
Mason Morelli,1,0,4,0,0
Petr Mrázek,38,0,0,0,8
Ty Mueller,2,4,1,0,1
Brett Murray,3,0,3,1,0
Matt Murray,2,0,0,0,0
Alexander Nylander,5,0,0,1,3
Oskar Olausson,2,2,1,0,2
Noah Ostlund,8,3,1,2,4
Victor Ostman,1,0,0,0,0
Yaniv Perets,1,0,0,0,0
Gabriel Perreault,5,1,1,1,6
Alexander Petrovic,5,6,10,1,5
Michael Pezzetta,25,7,73,2,9
Jason Polin,2,1,1,0,0
Vasiliy Ponomarev,7,2,5,3,4
Erik Portillo,1,0,0,0,0
Cayden Primeau,11,0,0,0,2
Nikita Prishchepov,10,2,10,0,2
Jacob Quillan,1,0,1,0,0
James Reimer,24,0,0,0,1
David Rittich,34,0,0,0,12
Matthew Robertson,2,1,2,1,2
Olivier Rodrigue,2,0,0,0,0
Georgi Romanov,8,0,0,0,4
Jonas Røndbjerg,13,4,3,3,1
Scott Sabourin,1,1,2,0,0
Steven Santini,1,2,1,0,0
Akira Schmid,5,0,0,0,0
Corey Schueneman,4,7,1,0,2
Jimmy Schuldt,8,5,13,1,6
Donovan Sebrango,2,0,0,0,0
Conor Sheary,5,1,2,0,0
Hunter Shepard,1,0,0,0,0
Igor Shesterkin,61,0,0,0,19
Owen Sillinger,1,1,1,1,1
Arturs Silovs,10,0,0,0,3
Jakub Skarek,2,0,0,0,0
Stuart Skinner,51,0,0,0,17
Givani Smith,13,5,20,2,2
Arvid Söderblom,36,0,0,0,8
Jaxson Stauber,6,0,0,0,1
Clay Stevenson,1,0,0,0,1
Ales Stezka,1,0,0,0,0
Matthew Stienburg,8,1,16,0,3
Riley Stillman,5,1,8,0,4
Aydar Suniev,1,0,0,0,1
Ryan Suzuki,2,0,2,0,0
Jeremy Swayman,58,0,0,0,21
Mads Søgaard,2,0,0,0,0
Cam Talbot,47,0,0,0,9
Dustin Tokarski,6,0,0,0,2
Nikita Tolopilo,2,0,0,0,0
Dominic Toninato,5,3,7,0,2
Riley Tufte,6,1,8,0,3
Ryan Ufko,1,0,1,0,2
Semyon Varlamov,10,0,0,0,4
Jeffrey Viel,5,2,12,2,4
Matt Villalta,1,0,0,0,0
Jesper Wallstedt,2,0,0,0,0
Tim Washe,2,0,4,0,0
Scott Wedgewood,24,0,0,0,7
Colin White,3,1,2,0,1
Jack Williams,1,1,0,1,1
Joseph Woll,42,0,0,0,12
